chr,start,end,strand,name,id
chr1,12191752,12191773,+,"hsa-miR-4632-3p","MI0017259"
chr1,12191713,12191735,+,"hsa-miR-4632-5p","MI0017259"
chr1,12578996,12579018,-,"hsa-miR-6730-5p","MI0022575"
chr1,12578958,12578979,-,"hsa-miR-6730-3p","MI0022575"
chr1,16858988,16859010,-,"hsa-miR-3675-5p","MI0016076"
chr1,16858958,16858979,-,"hsa-miR-3675-3p","MI0016076"
chr1,17277948,17277969,+,"hsa-miR-3972","MI0016990"
chr1,18883250,18883271,-,"hsa-miR-4695-5p","MI0017328"
chr1,18883204,18883225,-,"hsa-miR-4695-3p","MI0017328"
chr1,18897078,18897096,-,"hsa-miR-1290","MI0006352"
chr1,20633756,20633775,+,"hsa-miR-6084","MI0020361"
chr1,20988377,20988398,-,"hsa-miR-1256","MI0006390"
chr1,22266277,22266294,+,"hsa-miR-4418","MI0016754"
chr1,22633328,22633346,-,"hsa-miR-6127","MI0021271"
chr1,22719530,22719551,+,"hsa-miR-4684-5p","MI0017316"
chr1,22719566,22719587,+,"hsa-miR-4684-3p","MI0017316"
chr1,22863169,22863186,-,"hsa-miR-4253","MI0015860"
chr1,23044310,23044329,+,"hsa-miR-3115","MI0014127"
chr1,23929121,23929140,+,"hsa-miR-378f","MI0016756"
chr1,24919390,24919411,-,"hsa-miR-6731-5p","MI0022576"
chr1,24919345,24919365,-,"hsa-miR-6731-3p","MI0022576"
chr1,25023552,25023573,+,"hsa-miR-4425","MI0016764"
chr1,25906384,25906403,-,"hsa-miR-3917","MI0016423"
chr1,26554574,26554593,+,"hsa-miR-1976","MI0009986"
chr1,30739158,30739179,-,"hsa-miR-4420","MI0016757"
chr1,31758670,31758692,-,"hsa-miR-4254","MI0015862"
chr1,32086949,32086970,+,"hsa-miR-5585-5p","MI0019142"
chr1,32086986,32087007,+,"hsa-miR-5585-3p","MI0019142"
chr1,33332449,33332471,-,"hsa-miR-3605-5p","MI0015995"
chr1,33332405,33332427,-,"hsa-miR-3605-3p","MI0015995"
chr1,34669614,34669634,-,"hsa-miR-552-3p","MI0003557"
chr1,34669650,34669670,-,"hsa-miR-552-5p","MI0003557"
chr1,37161573,37161589,+,"hsa-miR-4255","MI0015863"
chr1,37480235,37480254,+,"hsa-miR-6732-5p","MI0022577"
chr1,37480267,37480289,+,"hsa-miR-6732-3p","MI0022577"
chr1,37500973,37500994,-,"hsa-miR-5581-5p","MI0019136"
chr1,37500935,37500956,-,"hsa-miR-5581-3p","MI0019136"
chr1,38089289,38089309,+,"hsa-miR-3659","MI0016060"
chr1,40754371,40754392,+,"hsa-miR-30e-5p","MI0000749"
chr1,40754413,40754434,+,"hsa-miR-30e-3p","MI0000749"
chr1,40757300,40757322,+,"hsa-miR-30c-5p","MI0000736"
chr1,40757339,40757360,+,"hsa-miR-30c-1-3p","MI0000736"
chr1,43171686,43171707,-,"hsa-miR-6733-5p","MI0022578"
chr1,43171652,43171671,-,"hsa-miR-6733-3p","MI0022578"
chr1,43364688,43364710,-,"hsa-miR-6734-5p","MI0022579"
chr1,43364648,43364670,-,"hsa-miR-6734-3p","MI0022579"
chr1,43448544,43448568,+,"hsa-miR-6735-5p","MI0022580"
chr1,43448590,43448611,+,"hsa-miR-6735-3p","MI0022580"
chr1,43838657,43838680,+,"hsa-miR-6079","MI0020356"
chr1,44545493,44545514,+,"hsa-miR-5584-5p","MI0019141"
chr1,44545531,44545552,+,"hsa-miR-5584-3p","MI0019141"
chr1,51059879,51059900,+,"hsa-miR-4421","MI0016758"
chr1,51060031,51060054,+,"hsa-miR-6500-5p","MI0022211"
chr1,51060072,51060092,+,"hsa-miR-6500-3p","MI0022211"
chr1,51836375,51836396,-,"hsa-miR-761","MI0003941"
chr1,54054091,54054111,+,"hsa-miR-4781-5p","MI0017426"
chr1,54054124,54054145,+,"hsa-miR-4781-3p","MI0017426"
chr1,55225656,55225676,+,"hsa-miR-4422","MI0016759"
chr1,59733269,59733291,-,"hsa-miR-4711-5p","MI0017345"
chr1,59733235,59733252,-,"hsa-miR-4711-3p","MI0017345"
chr1,61846140,61846161,+,"hsa-miR-12132","MI0039734"
chr1,62078830,62078851,+,"hsa-miR-3116","MI0014128"
chr1,62078794,62078815,-,"hsa-miR-3116","MI0014129"
chr1,63326964,63326984,-,"hsa-miR-6068","MI0020345"
chr1,64579855,64579876,+,"hsa-miR-4794","MI0017441"
chr1,65057762,65057783,-,"hsa-miR-3671","MI0016072"
chr1,65058477,65058498,-,"hsa-miR-101-5p","MI0000103"
chr1,65058442,65058462,-,"hsa-miR-101-3p","MI0000103"
chr1,66628485,66628505,+,"hsa-miR-3117-3p","MI0014130"
chr1,66628452,66628471,+,"hsa-miR-3117-5p","MI0014130"
chr1,68183576,68183597,-,"hsa-miR-1262","MI0006397"
chr1,71067681,71067702,-,"hsa-miR-186-5p","MI0000483"
chr1,71067642,71067663,-,"hsa-miR-186-3p","MI0000483"
chr1,77060143,77060165,+,"hsa-miR-7156-5p","MI0023616"
chr1,77060180,77060202,+,"hsa-miR-7156-3p","MI0023616"
chr1,85133806,85133827,+,"hsa-miR-4423-5p","MI0016760"
chr1,85133842,85133862,+,"hsa-miR-4423-3p","MI0016760"
chr1,86357665,86357685,-,"hsa-miR-7856-5p","MI0025526"
chr1,93846880,93846899,+,"hsa-miR-760","MI0005567"
chr1,94543754,94543775,+,"hsa-miR-12133","MI0039735"
chr1,98045307,98045329,-,"hsa-miR-2682-5p","MI0012063"
chr1,98045271,98045292,-,"hsa-miR-2682-3p","MI0012063"
chr1,98046091,98046113,-,"hsa-miR-137-3p","MI0000454"
chr1,98046127,98046149,-,"hsa-miR-137-5p","MI0000454"
chr1,100281256,100281276,+,"hsa-miR-553","MI0003558"
chr1,107897282,107897303,+,"hsa-miR-7852-3p","MI0025522"
chr1,109598940,109598961,+,"hsa-miR-197-3p","MI0000239"
chr1,109598901,109598923,+,"hsa-miR-197-5p","MI0000239"
chr1,112461806,112461823,-,"hsa-miR-4256","MI0015855"
chr1,112882060,112882081,+,"hsa-miR-11399","MI0036558"
chr1,116560038,116560059,-,"hsa-miR-548ac","MI0016762"
chr1,116671787,116671808,+,"hsa-miR-320b","MI0003776"
chr1,117094655,117094676,+,"hsa-miR-942-5p","MI0005767"
chr1,117094695,117094716,+,"hsa-miR-942-3p","MI0005767"
chr1,145850620,145850640,-,"hsa-miR-6736-5p","MI0022581"
chr1,145850587,145850607,-,"hsa-miR-6736-3p","MI0022581"
chr1,148334522,148334544,-,"hsa-miR-5087","MI0017976"
chr1,148388294,148388314,+,"hsa-miR-6077","MI0020354"
chr1,150492350,150492372,+,"hsa-miR-6878-5p","MI0022725"
chr1,150492390,150492410,+,"hsa-miR-6878-3p","MI0022725"
chr1,150551987,150552004,+,"hsa-miR-4257","MI0015856"
chr1,151545811,151545831,+,"hsa-miR-554","MI0003559"
chr1,153689763,153689783,-,"hsa-miR-8083","MI0025919"
chr1,153962395,153962415,-,"hsa-miR-6737-5p","MI0022582"
chr1,153962351,153962372,-,"hsa-miR-6737-3p","MI0022582"
chr1,154104562,154104583,-,"hsa-miR-5698","MI0019305"
chr1,154193712,154193733,-,"hsa-miR-190b-5p","MI0005545"
chr1,154193676,154193696,-,"hsa-miR-190b-3p","MI0005545"
chr1,154975703,154975719,+,"hsa-miR-4258","MI0015857"
chr1,155195196,155195217,+,"hsa-miR-92b-5p","MI0003560"
chr1,155195237,155195258,+,"hsa-miR-92b-3p","MI0003560"
chr1,155346365,155346385,-,"hsa-miR-555","MI0003561"
chr1,155951309,155951331,-,"hsa-miR-6738-5p","MI0022583"
chr1,155951273,155951296,-,"hsa-miR-6738-3p","MI0022583"
chr1,156420392,156420414,-,"hsa-miR-9-5p","MI0000466"
chr1,156420354,156420375,-,"hsa-miR-9-3p","MI0000466"
chr1,156936156,156936176,-,"hsa-miR-765","MI0005116"
chr1,159899989,159900010,-,"hsa-miR-4259","MI0015858"
chr1,161227195,161227216,+,"hsa-miR-5187-5p","MI0018166"
chr1,161227237,161227257,+,"hsa-miR-5187-3p","MI0018166"
chr1,162157116,162157137,+,"hsa-miR-4654","MI0017282"
chr1,162342561,162342582,+,"hsa-miR-556-5p","MI0003562"
chr1,162342600,162342621,+,"hsa-miR-556-3p","MI0003562"
chr1,165907923,165907944,+,"hsa-miR-3658","MI0016058"
chr1,166154773,166154797,-,"hsa-miR-921","MI0005713"
chr1,167998665,167998686,+,"hsa-miR-1255b-5p","MI0006436"
chr1,167998699,167998720,+,"hsa-miR-1255b-2-3p","MI0006436"
chr1,168375584,168375606,+,"hsa-miR-557","MI0003563"
chr1,170151435,170151454,-,"hsa-miR-3119","MI0014134"
chr1,170151386,170151405,+,"hsa-miR-3119","MI0014135"
chr1,171101738,171101758,-,"hsa-miR-1295a","MI0006357"
chr1,171101739,171101759,+,"hsa-miR-1295b-5p","MI0019146"
chr1,171101777,171101798,+,"hsa-miR-1295b-3p","MI0019146"
chr1,172138857,172138878,-,"hsa-miR-214-5p","MI0000290"
chr1,172138816,172138837,-,"hsa-miR-214-3p","MI0000290"
chr1,172138858,172138878,+,"hsa-miR-3120-3p","MI0014136"
chr1,172138820,172138840,+,"hsa-miR-3120-5p","MI0014136"
chr1,172144592,172144614,-,"hsa-miR-199a-5p","MI0000281"
chr1,172144554,172144575,-,"hsa-miR-199a-3p","MI0000281"
chr1,175968440,175968459,-,"hsa-miR-1843","MI0032314"
chr1,177029412,177029432,-,"hsa-miR-488-5p","MI0003123"
chr1,177029374,177029394,-,"hsa-miR-488-3p","MI0003123"
chr1,178677763,178677784,+,"hsa-miR-4424","MI0016763"
chr1,179803938,179803959,+,"hsa-miR-12116","MI0039718"
chr1,180438323,180438344,-,"hsa-miR-3121-3p","MI0014137"
chr1,180438358,180438379,-,"hsa-miR-3121-5p","MI0014137"
chr1,192716333,192716349,+,"hsa-miR-4426","MI0016765"
chr1,193136552,193136573,+,"hsa-miR-1278","MI0006425"
chr1,196582453,196582474,-,"hsa-miR-4735-5p","MI0017372"
chr1,196582417,196582437,-,"hsa-miR-4735-3p","MI0017372"
chr1,198858925,198858947,-,"hsa-miR-181b-5p","MI0000270"
chr1,198858887,198858907,-,"hsa-miR-181b-3p","MI0000270"
chr1,198859108,198859130,-,"hsa-miR-181a-5p","MI0000289"
chr1,198859069,198859090,-,"hsa-miR-181a-3p","MI0000289"
chr1,201719579,201719600,+,"hsa-miR-5191","MI0018170"
chr1,201808615,201808634,+,"hsa-miR-1231","MI0006321"
chr1,201863378,201863399,+,"hsa-miR-6739-5p","MI0022584"
chr1,201863427,201863447,+,"hsa-miR-6739-3p","MI0022584"
chr1,202003129,202003150,+,"hsa-miR-6740-5p","MI0022585"
chr1,202003215,202003236,+,"hsa-miR-6740-3p","MI0022585"
chr1,205448361,205448383,-,"hsa-miR-135b-5p","MI0000810"
chr1,205448323,205448344,-,"hsa-miR-135b-3p","MI0000810"
chr1,206474808,206474830,+,"hsa-miR-6769b-5p","MI0022706"
chr1,206474844,206474864,+,"hsa-miR-6769b-3p","MI0022706"
chr1,207801903,207801924,-,"hsa-miR-29c-5p","MI0000735"
chr1,207801865,207801886,-,"hsa-miR-29c-3p","MI0000735"
chr1,207802450,207802472,-,"hsa-miR-29b-3p","MI0000107"
chr1,207802492,207802513,-,"hsa-miR-29b-2-5p","MI0000107"
chr1,209432166,209432187,+,"hsa-miR-205-5p","MI0000285"
chr1,209432203,209432223,+,"hsa-miR-205-3p","MI0000285"
chr1,209623482,209623500,-,"hsa-miR-4260","MI0015859"
chr1,212077622,212077643,+,"hsa-miR-3122","MI0014138"
chr1,220117916,220117936,-,"hsa-miR-215-5p","MI0000291"
chr1,220117877,220117899,-,"hsa-miR-215-3p","MI0000291"
chr1,220118206,220118227,-,"hsa-miR-194-5p","MI0000488"
chr1,220200586,220200609,-,"hsa-miR-664a-5p","MI0006442"
chr1,220200549,220200571,-,"hsa-miR-664a-3p","MI0006442"
chr1,224257049,224257070,-,"hsa-miR-320b","MI0003839"
chr1,224398289,224398311,-,"hsa-miR-4742-5p","MI0017380"
chr1,224398227,224398249,-,"hsa-miR-4742-3p","MI0017380"
chr1,225922116,225922137,-,"hsa-miR-6741-5p","MI0022586"
chr1,225922080,225922101,-,"hsa-miR-6741-3p","MI0022586"
chr1,227941641,227941662,-,"hsa-miR-5008-5p","MI0017876"
chr1,227941610,227941630,-,"hsa-miR-5008-3p","MI0017876"
chr1,228097320,228097341,+,"hsa-miR-3620-3p","MI0016011"
chr1,228097285,228097306,+,"hsa-miR-3620-5p","MI0016011"
chr1,228397083,228397104,-,"hsa-miR-6742-5p","MI0022587"
chr1,228397048,228397067,-,"hsa-miR-6742-3p","MI0022587"
chr1,228462083,228462103,+,"hsa-miR-4666a-5p","MI0017296"
chr1,228462125,228462145,+,"hsa-miR-4666a-3p","MI0017296"
chr1,231019841,231019863,-,"hsa-miR-1182","MI0006275"
chr1,233624195,233624215,+,"hsa-miR-4427","MI0016766"
chr1,234306476,234306497,+,"hsa-miR-4671-5p","MI0017302"
chr1,234306512,234306532,+,"hsa-miR-4671-3p","MI0017302"
chr1,235190086,235190107,-,"hsa-miR-4753-5p","MI0017392"
chr1,235190040,235190061,-,"hsa-miR-4753-3p","MI0017392"
chr1,235853000,235853021,-,"hsa-miR-1537-3p","MI0007258"
chr1,235853037,235853058,-,"hsa-miR-1537-5p","MI0007258"
chr1,237471164,237471185,+,"hsa-miR-4428","MI0016767"
chr1,241132320,241132336,+,"hsa-miR-3123","MI0014139"
chr1,243346188,243346209,+,"hsa-miR-4677-5p","MI0017308"
chr1,243346225,243346246,+,"hsa-miR-4677-3p","MI0017308"
chr1,247202016,247202041,-,"hsa-miR-3916","MI0016422"
chr1,248826383,248826403,+,"hsa-miR-3124-5p","MI0014140"
chr1,248826418,248826439,+,"hsa-miR-3124-3p","MI0014140"
chr10,641699,641720,-,"hsa-miR-5699-3p","MI0019306"
chr10,641748,641769,-,"hsa-miR-5699-5p","MI0019306"
chr10,2076031,2076052,-,"hsa-miR-6072","MI0020349"
chr10,3991178,3991196,+,"hsa-miR-6078","MI0020355"
chr10,6152247,6152267,+,"hsa-miR-3155a","MI0014183"
chr10,6152209,6152226,-,"hsa-miR-3155b","MI0016839"
chr10,12130792,12130812,-,"hsa-miR-548ak","MI0016840"
chr10,12578796,12578816,+,"hsa-miR-4480","MI0016841"
chr10,12653181,12653197,-,"hsa-miR-4481","MI0016842"
chr10,12725325,12725346,-,"hsa-miR-548q","MI0010637"
chr10,14383210,14383226,-,"hsa-miR-4293","MI0015826"
chr10,14436589,14436610,+,"hsa-miR-1265","MI0006401"
chr10,17845122,17845142,+,"hsa-miR-511-5p","MI0003127"
chr10,17845160,17845179,+,"hsa-miR-511-3p","MI0003127"
chr10,20552015,20552036,+,"hsa-miR-4675","MI0017306"
chr10,21496609,21496630,-,"hsa-miR-1915-5p","MI0008336"
chr10,21496576,21496595,-,"hsa-miR-1915-3p","MI0008336"
chr10,24275745,24275766,+,"hsa-miR-603","MI0003616"
chr10,28289319,28289340,-,"hsa-miR-8086","MI0025922"
chr10,29545019,29545037,-,"hsa-miR-604","MI0003617"
chr10,29602311,29602332,-,"hsa-miR-938","MI0005760"
chr10,30368648,30368665,-,"hsa-miR-7162-5p","MI0023623"
chr10,30368597,30368615,-,"hsa-miR-7162-3p","MI0023623"
chr10,35079609,35079629,-,"hsa-miR-3611","MI0016001"
chr10,35641181,35641203,-,"hsa-miR-4683","MI0017315"
chr10,42997630,42997651,+,"hsa-miR-5100","MI0019116"
chr10,45164021,45164042,+,"hsa-miR-3156-5p","MI0014184"
chr10,45164062,45164082,+,"hsa-miR-3156-3p","MI0014184"
chr10,48985561,48985577,-,"hsa-miR-4294","MI0015827"
chr10,51299588,51299610,+,"hsa-miR-605-5p","MI0003618"
chr10,51299623,51299644,+,"hsa-miR-605-3p","MI0003618"
chr10,54607889,54607907,-,"hsa-miR-548f-3p","MI0006374"
chr10,54607926,54607947,-,"hsa-miR-548f-5p","MI0006374"
chr10,57304489,57304510,-,"hsa-miR-3924","MI0016432"
chr10,63373012,63373033,-,"hsa-miR-1296-5p","MI0003780"
chr10,63372969,63372990,-,"hsa-miR-1296-3p","MI0003780"
chr10,67403388,67403410,-,"hsa-miR-7151-5p","MI0023611"
chr10,67403351,67403371,-,"hsa-miR-7151-3p","MI0023611"
chr10,71790747,71790768,+,"hsa-miR-7152-5p","MI0023612"
chr10,71790781,71790800,+,"hsa-miR-7152-3p","MI0023612"
chr10,72721038,72721058,+,"hsa-miR-4676-5p","MI0017307"
chr10,72721072,72721093,+,"hsa-miR-4676-3p","MI0017307"
chr10,75552518,75552538,+,"hsa-miR-606","MI0003619"
chr10,86264747,86264769,-,"hsa-miR-346","MI0000826"
chr10,87503890,87503911,+,"hsa-miR-4678","MI0017309"
chr10,89063381,89063402,-,"hsa-miR-4679","MI0017311"
chr10,89063344,89063365,+,"hsa-miR-4679","MI0017310"
chr10,89592756,89592778,-,"hsa-miR-107","MI0000114"
chr10,96064369,96064390,-,"hsa-miR-3157-5p","MI0014185"
chr10,96064321,96064342,-,"hsa-miR-3157-3p","MI0014185"
chr10,96828684,96828704,-,"hsa-miR-607","MI0003620"
chr10,97875860,97875884,-,"hsa-miR-3085-5p","MI0039500"
chr10,97875824,97875844,-,"hsa-miR-3085-3p","MI0039500"
chr10,98395271,98395292,-,"hsa-miR-1287-5p","MI0006349"
chr10,98395232,98395253,-,"hsa-miR-1287-3p","MI0006349"
chr10,98431332,98431357,-,"hsa-miR-4685-5p","MI0017317"
chr10,98431292,98431313,-,"hsa-miR-4685-3p","MI0017317"
chr10,98924543,98924563,-,"hsa-miR-6507-5p","MI0022219"
chr10,98924502,98924523,-,"hsa-miR-6507-3p","MI0022219"
chr10,100975000,100975024,+,"hsa-miR-608","MI0003621"
chr10,101601466,101601487,+,"hsa-miR-3158-3p","MI0014186"
chr10,101601429,101601449,+,"hsa-miR-3158-5p","MI0014186"
chr10,101601427,101601448,-,"hsa-miR-3158-3p","MI0014187"
chr10,101601465,101601485,-,"hsa-miR-3158-5p","MI0014187"
chr10,102436520,102436542,+,"hsa-miR-146b-5p","MI0003129"
chr10,102436557,102436578,+,"hsa-miR-146b-3p","MI0003129"
chr10,103394301,103394322,-,"hsa-miR-1307-3p","MI0006444"
chr10,103394341,103394361,-,"hsa-miR-1307-5p","MI0006444"
chr10,104048151,104048172,-,"hsa-miR-936","MI0005758"
chr10,104218849,104218868,-,"hsa-miR-609","MI0003622"
chr10,104268341,104268362,-,"hsa-miR-4482-3p","MI0016843"
chr10,104268377,104268398,-,"hsa-miR-4482-5p","MI0016843"
chr10,110898094,110898116,+,"hsa-miR-4680-5p","MI0017312"
chr10,110898131,110898151,+,"hsa-miR-4680-3p","MI0017312"
chr10,110988978,110988999,+,"hsa-miR-548e-3p","MI0006344"
chr10,110988940,110988961,+,"hsa-miR-548e-5p","MI0006344"
chr10,112299658,112299678,-,"hsa-miR-6715b-5p","MI0022549"
chr10,112299622,112299643,-,"hsa-miR-6715b-3p","MI0022549"
chr10,112299660,112299680,+,"hsa-miR-6715a-3p","MI0022548"
chr10,112634180,112634197,+,"hsa-miR-4295","MI0015822"
chr10,113778000,113778016,-,"hsa-miR-4483","MI0016844"
chr10,114174151,114174172,-,"hsa-miR-2110","MI0010629"
chr10,116827534,116827555,-,"hsa-miR-9851-5p","MI0039502"
chr10,116827499,116827520,-,"hsa-miR-9851-3p","MI0039502"
chr10,117167734,117167754,-,"hsa-miR-3663-5p","MI0016064"
chr10,117167695,117167717,-,"hsa-miR-3663-3p","MI0016064"
chr10,119377975,119377996,+,"hsa-miR-4681","MI0017313"
chr10,119958522,119958544,+,"hsa-miR-4682","MI0017314"
chr10,122417024,122417045,+,"hsa-miR-3941","MI0016598"
chr10,125032844,125032860,-,"hsa-miR-4296","MI0015823"
chr10,125819803,125819822,+,"hsa-miR-4484","MI0016845"
chr10,129843349,129843364,-,"hsa-miR-4297","MI0015824"
chr10,130962634,130962658,-,"hsa-miR-378c","MI0015825"
chr10,133247572,133247593,-,"hsa-miR-202-5p","MI0003130"
chr10,133247538,133247557,-,"hsa-miR-202-3p","MI0003130"
chr10,133371579,133371601,-,"hsa-miR-3944-3p","MI0016601"
chr10,133371621,133371641,-,"hsa-miR-3944-5p","MI0016601"
chr11,209341,209362,+,"hsa-miR-6743-5p","MI0022588"
chr11,209383,209405,+,"hsa-miR-6743-3p","MI0022588"
chr11,568112,568133,-,"hsa-miR-210-3p","MI0000286"
chr11,568150,568171,-,"hsa-miR-210-5p","MI0000286"
chr11,1256610,1256628,+,"hsa-miR-6744-5p","MI0022589"
chr11,1256648,1256670,+,"hsa-miR-6744-3p","MI0022589"
chr11,1859505,1859526,-,"hsa-miR-4298","MI0015830"
chr11,1880105,1880125,+,"hsa-miR-7847-3p","MI0025517"
chr11,1996800,1996822,-,"hsa-miR-675-5p","MI0005416"
chr11,1996768,1996787,-,"hsa-miR-675-3p","MI0005416"
chr11,2134181,2134202,-,"hsa-miR-483-5p","MI0002467"
chr11,2134142,2134162,-,"hsa-miR-483-3p","MI0002467"
chr11,2173072,2173094,+,"hsa-miR-4686","MI0017318"
chr11,3856073,3856094,+,"hsa-miR-4687-5p","MI0017319"
chr11,3856113,3856133,+,"hsa-miR-4687-3p","MI0017319"
chr11,7234771,7234787,+,"hsa-miR-302e","MI0006417"
chr11,9090350,9090371,-,"hsa-miR-5691","MI0019296"
chr11,10508277,10508296,-,"hsa-miR-4485-3p","MI0016846"
chr11,10508305,10508320,-,"hsa-miR-4485-5p","MI0016846"
chr11,11656661,11656678,-,"hsa-miR-4299","MI0015829"
chr11,11783191,11783212,-,"hsa-miR-8070","MI0025906"
chr11,12163692,12163711,+,"hsa-miR-6124","MI0021258"
chr11,15969555,15969574,-,"hsa-miR-6073","MI0020350"
chr11,18387796,18387817,+,"hsa-miR-3159","MI0014188"
chr11,19575314,19575330,+,"hsa-miR-4486","MI0016847"
chr11,19760053,19760074,-,"hsa-miR-4694-5p","MI0017327"
chr11,19760013,19760033,-,"hsa-miR-4694-3p","MI0017327"
chr11,23419160,23419180,-,"hsa-miR-8054","MI0025890"
chr11,27515015,27515037,-,"hsa-miR-8087","MI0025923"
chr11,28056830,28056850,+,"hsa-miR-610","MI0003623"
chr11,28477517,28477538,-,"hsa-miR-8068","MI0025904"
chr11,34941888,34941909,+,"hsa-miR-1343-3p","MI0017320"
chr11,34941851,34941872,+,"hsa-miR-1343-5p","MI0017320"
chr11,36010181,36010203,+,"hsa-miR-3973","MI0016991"
chr11,43559675,43559694,+,"hsa-miR-670-5p","MI0003933"
chr11,43559714,43559734,+,"hsa-miR-670-3p","MI0003933"
chr11,43581408,43581428,+,"hsa-miR-129-5p","MI0000473"
chr11,43581450,43581471,+,"hsa-miR-129-2-3p","MI0000473"
chr11,45691754,45691776,-,"hsa-miR-7154-5p","MI0023614"
chr11,45691704,45691723,-,"hsa-miR-7154-3p","MI0023614"
chr11,46376456,46376477,+,"hsa-miR-4688","MI0017321"
chr11,46451815,46451836,-,"hsa-miR-3160-3p","MI0014189"
chr11,46451856,46451877,-,"hsa-miR-3160-5p","MI0014189"
chr11,46451817,46451838,+,"hsa-miR-3160-5p","MI0014190"
chr11,46451858,46451879,+,"hsa-miR-3160-3p","MI0014190"
chr11,46753171,46753192,-,"hsa-miR-5582-5p","MI0019138"
chr11,46753125,46753146,-,"hsa-miR-5582-3p","MI0019138"
chr11,47179615,47179635,-,"hsa-miR-6745","MI0022590"
chr11,47401023,47401041,+,"hsa-miR-4487","MI0016848"
chr11,48096791,48096813,+,"hsa-miR-3161","MI0014191"
chr11,56743943,56743961,+,"hsa-miR-6128","MI0021272"
chr11,57641212,57641233,+,"hsa-miR-130a-5p","MI0000448"
chr11,57641252,57641273,+,"hsa-miR-130a-3p","MI0000448"
chr11,59595127,59595149,-,"hsa-miR-3162-5p","MI0014192"
chr11,59595087,59595107,-,"hsa-miR-3162-3p","MI0014192"
chr11,60209118,60209140,-,"hsa-miR-6503-5p","MI0022215"
chr11,60209084,60209104,-,"hsa-miR-6503-3p","MI0022215"
chr11,61508599,61508616,+,"hsa-miR-4488","MI0016849"
chr11,61792500,61792522,-,"hsa-miR-611","MI0003624"
chr11,61815209,61815229,-,"hsa-miR-1908-5p","MI0008329"
chr11,61815172,61815192,-,"hsa-miR-1908-3p","MI0008329"
chr11,61878252,61878273,-,"hsa-miR-6746-5p","MI0022591"
chr11,61878216,61878237,-,"hsa-miR-6746-3p","MI0022591"
chr11,62567043,62567066,-,"hsa-miR-6747-5p","MI0022592"
chr11,62567011,62567031,-,"hsa-miR-6747-3p","MI0022592"
chr11,62789820,62789841,+,"hsa-miR-6748-5p","MI0022593"
chr11,62789865,62789885,+,"hsa-miR-6748-3p","MI0022593"
chr11,62792749,62792771,-,"hsa-miR-6514-5p","MI0022226"
chr11,62792702,62792722,-,"hsa-miR-6514-3p","MI0022226"
chr11,64341886,64341904,-,"hsa-miR-7155-5p","MI0023615"
chr11,64341849,64341867,-,"hsa-miR-7155-3p","MI0023615"
chr11,64368683,64368703,+,"hsa-miR-1237-3p","MI0006327"
chr11,64368651,64368671,+,"hsa-miR-1237-5p","MI0006327"
chr11,64878587,64878609,-,"hsa-miR-10392-5p","MI0033416"
chr11,64878523,64878546,-,"hsa-miR-10392-3p","MI0033416"
chr11,64891203,64891223,-,"hsa-miR-192-5p","MI0000234"
chr11,64891159,64891180,-,"hsa-miR-192-3p","MI0000234"
chr11,64891404,64891425,-,"hsa-miR-194-5p","MI0000732"
chr11,64891368,64891389,-,"hsa-miR-194-3p","MI0000732"
chr11,64898409,64898432,-,"hsa-miR-6750-5p","MI0022595"
chr11,64898363,64898383,-,"hsa-miR-6750-3p","MI0022595"
